exchange,symbol,timestamp,local_timestamp,ask_amount,ask_price,bid_price,bid_amount
hyperliquid,@166,1754006399999000,1754006400170688,14680.11,0.99963,0.99955,67845.54
hyperliquid,@166,1754006400415000,1754006402812359,14680.11,0.99963,0.99955,67844.89
hyperliquid,@166,1754006411937000,1754006412597510,14680.11,0.99963,0.99955,67829.89
hyperliquid,@166,1754006416215000,1754006416426252,14680.11,0.99963,0.99955,67809.1
hyperliquid,@166,1754006418416000,1754006418594604,9027.06,0.99963,0.99955,67809.1
hyperliquid,@166,1754006418971000,1754006419218766,7267.97,0.99963,0.99955,67809.1
hyperliquid,@166,1754006419544000,1754006419755938,4140.9,0.99963,0.99955,67809.1
hyperliquid,@166,1754006424484000,1754006424737272,4120.5,0.99963,0.99955,67809.1
hyperliquid,@166,1754006425509000,1754006425670875,4120.5,0.99963,0.99955,63487.14
hyperliquid,@166,1754006427723000,1754006428074205,4120.5,0.99963,0.99955,59823.21
hyperliquid,@166,1754006428227000,1754006428434279,4120.5,0.99963,0.99955,58995.13
hyperliquid,@166,1754006428760000,1754006428999636,3916.45,0.99963,0.99955,56545.76
hyperliquid,@166,1754006429875000,1754006430185872,3916.45,0.99963,0.99955,56530.76
hyperliquid,@166,1754006438657000,1754006438879142,3712.36,0.99963,0.99955,56530.76
hyperliquid,@166,1754006441805000,1754006442019782,3712.36,0.99963,0.99955,49182.61
hyperliquid,@166,1754006443354000,1754006443575343,3712.36,0.99963,0.99955,49167.61
hyperliquid,@166,1754006443933000,1754006444101868,3712.36,0.99963,0.99955,46719.52
hyperliquid,@166,1754006446049000,1754006446578039,3712.36,0.99963,0.99955,46698.73
hyperliquid,@166,1754006446614000,1754006447156548,3712.36,0.99963,0.99955,46683.73
hyperliquid,@166,1754006449285000,1754006449508247,3712.36,0.99963,0.99955,46602.1
hyperliquid,@166,1754006456858000,1754006457114408,3671.54,0.99963,0.99955,46602.1
hyperliquid,@166,1754006459623000,1754006459876780,3671.54,0.99963,0.9993,1627.1
hyperliquid,@166,1754006460158000,1754006460458474,3671.54,0.99963,0.99932,15008.02
hyperliquid,@166,1754006460716000,1754006460963661,3671.54,0.99963,0.99933,15007.95
hyperliquid,@166,1754006461342000,1754006461832337,359,0.99962,0.99933,15366.95
